Date,AFC.L,CWR.L,GOOD.L,GRP.L,ITM.L
2018-01-01,0.4346881080938868,0.2795045714485229,0.8306020002231828,0.8044778899354459,0.1853152496148277
2018-02-01,0.42974847050191084,0.26958971333970705,0.6764183283924758,0.7950797831585046,0.1734973346536139
2018-03-01,0.4376518831117836,0.2115169729880714,0.5620240636770769,0.715759794572095,0.15966788469699725
2018-04-01,0.3991227325062373,0.25023213322249516,0.666471068492558,0.8134194430593548,0.16997712433572087
2018-05-01,0.37936418213833334,0.2662847606367684,0.666471068492558,0.7999267147768998,0.17450311178169053
2018-06-01,0.36000077413609005,0.28941942955733874,0.7290071209258125,0.7454765457382233,0.1503639214068384
2018-07-01,0.34775049401239827,0.3002785598669942,0.5695367366575333,0.8017982084738494,0.16595399656266388
2018-08-01,0.31218509958152674,0.35882343631904967,0.6935691397871016,0.8352444009364793,0.1433234718799267
2018-09-01,0.27148247753262694,0.34362064812215193,0.5543491121253702,0.7680222688810486,0.13326568133840982
2018-10-01,0.23512674184076815,0.30216710426867344,0.5029414331790596,0.8372571252414824,0.12823679569802662
2018-11-01,0.21299716768990237,0.30783273747371104,0.5310244463806378,0.8392697868330716,0.13376857953282337
2018-12-01,0.17091145314508033,0.3097212818753903,0.4774114286021832,0.8556359183125926,0.11767611659247146
2019-01-01,0.22090059914299714,0.29366865446111695,0.5361304636300414,0.8617620781472728,0.09957209939596624
2019-02-01,0.1971903236269348,0.28328166025188134,0.49783549759979756,0.8821831335413226,0.11566456233631818
2019-03-01,0.1817786596160719,0.28328166025188134,0.5106004182180942,0.8439395530572612,0.09957209939596624
2019-04-01,0.12210783788186642,0.3432429450051962,0.7327115968761595,0.9297223470840486,0.12823679569802662
2019-05-01,0.24105431071978373,0.35126925871233283,0.7710067262466864,0.9235105207260108,0.17249155752553727
2019-06-01,0.20153720998397584,0.3153869150804279,0.7164117883564344,0.8577923817622042,0.16947422614130733
2019-07-01,0.18395211221620342,0.3607119807207289,0.8332178948568743,0.9233231330453432,0.18632102674290435
2019-08-01,0.20173480001002816,0.33049527029386155,0.8202394476535078,0.9778828624180647,0.182046469133391
2019-09-01,0.17604868076310864,0.40225995755767147,0.8098567225588712,0.9701946368705091,0.21674582820391125
2019-10-01,0.19363379737410308,0.3909286911475962,0.7922097650543586,1.034023283387583,0.3027909003165502
2019-11-01,0.7350180887606044,0.40225995755767147,0.815740729576634,0.9957260829346559,0.3431629356114549
2019-12-01,0.6461046121050367,0.4947986332399527,1.1033416430070762,1.029518390728479,0.3588070179115597
2020-01-01,0.7587283642766667,0.7969657375086261,1.2131529468945976,1.0252107317560215,0.5273608113100622
2020-02-01,0.8259073903038073,0.7308666834498538,0.9543120104690014,1.0252107317560215,0.5026328968367634
2020-03-01,0.5927565110371183,0.6326623745625349,0.7791369071673659,1.0163613673505134,0.5980117093597666
2020-04-01,0.5868289610013248,0.799798554111145,0.9020209872717384,0.9836459115863908,0.7902840768646568
2020-05-01,1.0076860687631013,0.9301081178270103,0.9255520334641554,1.0294475245707968,1.4306870030326622
2020-06-01,0.7848096447324688,1.021702521308452,0.9569267617207113,1.0567012064068635,1.3322801308874248
2020-07-01,0.7982454650124746,0.8356808977430499,1.0066031970065477,1.0920718226877562,1.216210226057754
2020-08-01,0.7705834643482539,1.0556963205386778,0.9726138808385647,1.0920718226877562,1.3978850204895903
2020-09-01,0.6955009880247965,1.0519192317353194,0.8628026586211849,1.0788045491281928,1.3146174063749987
2020-10-01,0.682855527849,1.3257581699788046,0.8575736461386143,1.0474701681644933,1.1663398287183353
2020-11-01,1.4897947278891126,1.6222596410424404,0.9621556925331404,1.0206117689761003,1.8984579030220523
2020-12-01,3.137657858721457,2.4928786102165557,0.930781045946726,1.0655115630689393,2.6053305264877102
2021-01-01,2.410543144884281,2.5042098766266307,0.9412393159222918,1.0881818350517265,2.7769995921865127
2021-02-01,2.129971789958356,2.356903413295653,1.019675891553257,1.0519092117390254,2.5901832559848748
2021-03-01,2.540949697909068,2.3720117685090862,1.1556326662043392,1.05579248903977,2.3907441943642067
2021-04-01,2.6674042996670324,2.523095320643423,1.4719938833201935,1.0879253371889652,2.6280514322419632
2021-05-01,2.509335896723801,2.0528477646253,1.4746081445510544,1.0328408219689118,1.9863120411212976
2021-06-01,2.509335896723801,1.9961914325749237,1.4955245211619028,1.0930510299320484,2.2993556315132317
2021-07-01,2.15368199010153,1.9055413012943216,1.6942305889858138,1.1070051408004045,2.071136848388779
2021-08-01,2.347315844005299,2.2265938495797872,1.6968453402375239,1.1072064508589532,2.450828336541587
2021-09-01,2.0548892382620103,2.0320737762068286,1.8563332427511645,1.0907162095333676,2.17514798257278
2021-10-01,2.3828811442200606,2.351237780090615,1.8040419745434768,1.0789373761387864,2.4690050919621904
2021-11-01,1.9284344857582698,2.0925071970605633,1.4155197971431288,1.0365337640585366,2.3124832967662234
2021-12-01,1.948193036126174,1.8819344962733315,1.271346516231754,1.0650103574652257,1.9893415260390654
2022-01-01,1.3732192505693241,1.1491792684217985,1.2870743887502385,1.1056051265489901,1.365273950505041
2022-02-01,1.4463258266322583,1.3446436139955966,1.3630930381706179,1.1223203836035704,1.6773078153150551
2022-03-01,1.6083460300965364,1.393745768439256,1.3893064584919441,1.0982137235893197,1.7914171298342798
2022-04-01,1.339629775242198,1.4069655792510105,1.284453103887205,1.1417552705643874,1.6732684507293636
2022-05-01,1.0906719953828754,1.2653247491250699,1.3237730301938406,1.112727363536296,1.487966934029611
