,Returns,Volatility,AFC.L Weight,CWR.L Weight,GOOD.L Weight,GRP.L Weight,ITM.L Weight
4063,0.029074942635739818,0.14156298768491282,0.18879285342588192,0.3657775635735695,0.18207428523507943,0.2112273332360133,0.05212796452945581
4064,0.02729564271257071,0.1347259275909329,0.18715662501605373,0.05487791084675547,0.2662028530512224,0.27667629700488067,0.21508631408108772
4065,0.03810900650148332,0.21543143226556624,0.40472000330301916,0.0930520007835169,0.06992436336040765,0.28611852846554453,0.14618510408751187
4066,0.03758328632225855,0.1862036737098721,0.21348446679321054,0.3391670928940667,0.08264481351375605,0.06552703392666949,0.29917659287229725
4067,0.028179937001745592,0.13764272248535522,0.10929395350761767,0.21365815050276252,0.31445240931089746,0.09826505095191483,0.26433043572680753
4068,0.024238332568830758,0.1128047093816944,0.15070674421161587,0.23266279395862616,0.1641404081410254,0.38219709950669145,0.07029295418204115
4069,0.03126064225442591,0.15850872015104375,0.2217465080703829,0.01025496062479006,0.21665740662835717,0.2395547974852175,0.31178632719125243
4070,0.024484388547330413,0.11574409966979966,0.1343407071391625,0.28205056583723204,0.22565004585686543,0.2925787748891995,0.06537990627754062
4071,0.017705554844502674,0.08362808077600285,0.010672746127116994,0.13665736682168683,0.17268091500616564,0.48794102078336543,0.19204795126166507
4072,0.01659044431248549,0.09556343233989208,0.018155043299899462,0.24408069383428987,0.43795697392469246,0.26190725850050534,0.03790003044061282
4073,0.02826469515460118,0.14345123352361977,0.2189277218457596,0.12343913547088216,0.31620152205794416,0.20910539154022714,0.13232622908518699
4074,0.023967702882110472,0.11259554187188148,0.1434998293200798,0.28390592164988854,0.18982010290925294,0.3474038179518492,0.035370328168929606
4075,0.04039478705484789,0.21783787493723442,0.3657572649487338,0.15570051971913237,0.08241451664653732,0.15517303565954252,0.2409546630260541
4076,0.04115855788249916,0.22445119716939055,0.3798816509096607,0.19828219805730268,0.2194762310028286,0.009143481493701,0.1932164385365071
4077,0.021224441237851426,0.10639391673875741,0.016858880956088798,0.22397408464394433,0.28866763623529434,0.25684559517361594,0.21365380299105666
4078,0.02935520100026645,0.14273654569042996,0.12455813094471356,0.3791517593870464,0.23769375479354413,0.09668739624656976,0.16190895862812626
4079,0.03274210308907051,0.16305394940285783,0.2172911784024757,0.1933674656759724,0.2403008067449287,0.11798486182477055,0.23105568735185272
4080,0.03397000648068179,0.17677502936466885,0.28167065917545714,0.09930281484447272,0.21492205491946426,0.1818273029326374,0.2222771681279686
4081,0.045238593453631785,0.24544711132559618,0.38132221194155735,0.11692520318340208,0.10593621518563176,0.008653504590493358,0.3871628650989153
4082,0.029144129720763842,0.14426681611157643,0.16871162143817778,0.26942463828238483,0.33216781860882505,0.0858344092862634,0.1438615123843488
4083,0.03429691735149888,0.17520238304052616,0.2802374028820881,0.16791001240571388,0.028815013404799642,0.31726961854589186,0.20576795276150645
4084,0.03439084198082352,0.19348382831621608,0.35563479633766976,0.09924068926430331,0.3261279861328526,0.130329876187626,0.08866665207754824
4085,0.015850651828846776,0.08692071263397913,0.010942479356249916,0.20734047663737423,0.3684975645137265,0.3509695260907285,0.06224995340192087
4086,0.033675294505058004,0.1777576989269249,0.3082670673607524,0.15354112431596453,0.1672640023403338,0.23998134681007982,0.13094645917286948
4087,0.03268914547009142,0.16077374224549856,0.21842667626248233,0.22143602738913973,0.14205712285845531,0.20025666414110813,0.21782350934881456
4088,0.028537174000875753,0.13775294366237564,0.0986107519773011,0.21494485126553287,0.23493659160643973,0.14903034688917294,0.3024774582615535
4089,0.0326603712124831,0.1705852000323681,0.30205964339809366,0.20474472668968277,0.08758892102152444,0.3228381048238739,0.08276860406682537
4090,0.032213716800027305,0.1702523111112241,0.29238002734131674,0.12627888921833383,0.24501057778936564,0.21030933688831302,0.1260211687626707
4091,0.02720179102554283,0.1295501306891377,0.12880950492410997,0.15305799200088344,0.23457678670078141,0.2325109568798552,0.2510447594943699
4092,0.014086868688071012,0.07659257980443988,0.006304904440346371,0.03151771691602973,0.360779652812323,0.4575534311232447,0.14384429470805615
4093,0.027629084581820965,0.13357673006562643,0.18448276277379613,0.18617998332174465,0.22011850010359504,0.26855835564068237,0.14066039816018164
4094,0.03396639406070727,0.17212520585298838,0.25936113862420135,0.2470398288702124,0.19915554373964822,0.13638969378304713,0.158053794982891
4095,0.028234467093615146,0.13260876304289118,0.09575107660213049,0.33007535611844757,0.03698611894464225,0.30023107025607076,0.2369563780787089
4096,0.03204239956305099,0.15411976831071764,0.1699756325953647,0.22908541343757427,0.07378780101313977,0.23920788821311975,0.2879432647408015
4097,0.03857349259103556,0.22757539083142486,0.4537903508880279,0.11934349712885176,0.06537594185083641,0.3086927206068404,0.05279748952544347
4098,0.02629116585110297,0.13786164483396593,0.2470075053284131,0.07043701931156365,0.26078719739509443,0.35708473844232047,0.06468353952260848
4099,0.02677816970170526,0.13264328255449653,0.19925743969493498,0.11641766773476928,0.2688335327127725,0.2829554211091339,0.13253593874838937
4100,0.03537486372076626,0.18081497950454356,0.25518694001521774,0.2476161818142759,0.28649850184081593,0.011593021265801447,0.19910535506388902
4101,0.03168042370794067,0.15441285182159653,0.1184284421173134,0.31978450096727395,0.2050101183317224,0.06581249952190676,0.29096443906178354
4102,0.025310601850191974,0.11841108509179007,0.12013927818508689,0.19649297493698373,0.21663194805130898,0.28748607404016235,0.17924972478645806
4103,0.031687608078002805,0.16504347699805486,0.24413035350486134,0.003950946660296354,0.3195090997224186,0.15482764269042087,0.27758195742200287
4104,0.03652945024303242,0.1862037375341339,0.28948025030523367,0.3416074587447948,0.06210815668536189,0.17782240818683784,0.1289817260777719
4105,0.029881244904822572,0.15135579152751164,0.08954168364849473,0.02383458353631385,0.29056844988462843,0.10410399831053993,0.4919512846200231
4106,0.031643509654523505,0.16723041369288102,0.2518371817891331,0.010920328241441216,0.38202043519915463,0.10482948877694825,0.2503925659933228
4107,0.03348454205330891,0.17041624315908507,0.2614075350039479,0.16372280232654565,0.18969736779457208,0.1846431707877778,0.20052912408715667
4108,0.02926499112784107,0.13894810892771758,0.12385061433684931,0.16901450616306554,0.07349760512054637,0.3040272093549476,0.329610065024591
4109,0.02785164261277069,0.1322135462649585,0.1426101591468007,0.24816176387432265,0.2058186277760109,0.22282441487003507,0.18058503433283055
